name,category,lat,lon
Chandrakant Baxi Library,Library,23.06356,72.566632
"Kavi ramanlal vasantlal Desai,Nikol",Library,23.02553,72.643914
"V.N.Shah Library,Rakhiyal",Library,23.021774,72.623712
"B.N.Library,Raipur",Library,23.021184,72.594867
Dr.Shyama Prashad Mukharji,Library,23.011051,72.531455
GorvardhanrAM Tripathi Muni Library,Library,22.998323,72.602814
Jayotindra Dave Muni Library,Library,23.043314,72.580155
Patel.K.K.Muni Library,Library,23.074475,72.656816
Swa.Lalbhai Kundivala Muni.Library,Library,23.018496,72.586658
Chimanlal PurshottAMdas Gajjar Muni Library,Library,23.039086,72.581442
Dr. Babasaheb Ambedkar Muni.Library,Library,23.012629,72.611697
Kavi Narmad Muni.Library,Library,23.04215,72.590986
Trithkar Udhyan Muni.Library,Library,23.054098,72.598604
Jethabhai Garden Muni.Library,Library,23.049959,72.600938
Ishawarlal Kachrabhai Parmar Muni.Library,Library,23.036847,72.625689
Sakriben Chturbhai SINI.City.Muni.Library,Library,23.057423,72.598729
Kavi RAManlal Vashantbhai Desai Muni.Library,Library,22.975735,72.620434
Chnadrkant Bakshi Muni.Library,Library,23.025995,72.635376
Kaniyalal NathurAM Bhil Muni.Library,Library,23.003244,72.57718
Umashankar Joshi Muni.Library,Library,23.023599,72.660854
Kaniyalal Maneklal Munshi Muni.Library,Library,23.036051,72.561231
K.K.Shastri Muni.Library,Library,23.009309,72.548642
Narsinhrav divetiya Muni.Library,Library,23.00949,72.62599
Kavi Suresh HariPrashad Joshi Muni.Library,Library,23.001735,72.619468
Kaka Kalekar Muni.Library.,Library,22.9916,72.633214
Manishankar Ratanji Bhatt Muni Library,Library,22.992423,72.616269
Pannalal Patel Muni Library,Library,23.018207,72.614034
Dadabhai Navroji Muni Library,Library,23.023427,72.586131
Bhikhubhai Chavda Muni Library,Library,23.009209,72.586412
Koutilya Muni Library,Library,23.04375,72.605379
Mahatmagandhi Muni Library,Library,23.083412,72.589849
Surendrabhai Patel (Daskaka) Muni Library,Library,23.018021,72.59029
ShekhadAM Abuvala Muni Library,Library,23.013067,72.582112
Shree RAManlal Nilkhanth Muni Library,Library,23.014005,72.607894
RA.B.GI.U.Muni.Library,Library,23.02854,72.596316
Suny Palanpuri Muni Library,Library,23.013216,72.581516
Nanhalal Kavi Muni.Library,Library,23.08003,72.589021
Radhakishan Sharma Muni.Library,Library,23.081546,72.631235
Pandit Dindayal Upadhyay Muni.Library,Library,23.067791,72.540531
Sheth Maneklal Jethalal Sanchalit Library,Library,23.023358,72.570694
Sheth Maneklal Jethalal Sanchalit Library,Library,23.060112,72.549009
Ajit Bhagat Memorial Trust Library,Library,23.028182,72.593716
"Kavi Shree ManBhatt Premanand Library,Naroda",Library,23.048756,72.621683
"Surishwar Library,Vasana Branch Libarary",Library,23.003902,72.554089
Atma Science & Technology Library,Library,22.991631,72.607347
Vir Savarkar Muni.Library,Library,23.053361,72.632006
Sheth Maneklal Jethalal Sanchalit Library,Library,23.006453,72.619803
dayanand Sarshwati Muni Library,Library,23.043754,72.605313
"Narayanbhai Ranchhodbhai Library,Kantodiya",Library,23.012024,72.596916
RA.B.GI.U Library,Library,23.031334,72.589348
Vasantbhai Rami Library,Library,23.017079,72.520289
"Kavi Dalpatram Library,Relif Road",Library,23.028567,72.591523
"Kanaiyalal Nathuram Library,Kubernagar",Library,23.061043,72.629647
"MakrantBhai desai Library,Bodakdev",Library,23.039651,72.520181
Kanaiya lal Maneklal Munsi Library,Library,23.008615,72.625849
Saijpur Library,Library,23.058453,72.637009
Sola Library,Library,23.056684,72.53992
Thakkarbapanagar Library,Library,23.051071,72.646645
"Chandrakant Library,Vijay Nagar",Library,23.062249,72.557276
"Kavi shree Rajendra shah Library,Himmat lal park",Library,23.027245,72.535835
"sureshBhai Ramkumar Joshi Library,Sarspur",Library,23.032047,72.611293
"Reading room,Amaraywadi",Library,23.007979,72.627539
Khokhra Vyayam shala,Municipal_gyms,22.9987,72.616238
Maninagar Vyayam shala,Municipal_gyms,23.000651,72.606545
Ambubhai Purani Vyayam vidhyalaya,Municipal_gyms,23.008956,72.599178
Swami Vivekanand Vyayam Vidhyalaya,Municipal_gyms,22.991723,72.633436
"Isanpur Vyayam shala,isanpur",Municipal_gyms,22.975236,72.61033
Krantivir Mahadev Desai Vyayam Vidhyalaya,Municipal_gyms,23.007232,72.62947
